date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:53	78449/78449	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2018:40:20%20GMT	https://html.kodesolution.com/2026/islamus-html/	D:/Ihgc/html.kodesolution.com/2026/islamus-html/index.html	(from )
23:27:53	633/633	---MCZ	200	added ('OK')	text/plain	date:Mon,%2017%20Aug%202026%2018:27:42%20GMT	https://html.kodesolution.com/robots.txt		(from )
23:27:54	231866/231866	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Dec%202025%2007:07:39%20GMT	https://html.kodesolution.com/2026/islamus-html/css/bootstrap.min.css	D:/Ihgc/html.kodesolution.com/2026/islamus-html/css/bootstrap.min.css	(from https://html.kodesolution.com/2026/islamus-html/)
23:27:54	572931/572931	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Jun%202026%2018:29:37%20GMT	https://html.kodesolution.com/2026/islamus-html/css/style.css	D:/Ihgc/html.kodesolution.com/2026/islamus-html/css/style.css	(from https://html.kodesolution.com/2026/islamus-html/)
23:27:54	617/617	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Jan%202026%2007:24:38%20GMT	https://html.kodesolution.com/2026/islamus-html/images/favicon.png	D:/Ihgc/html.kodesolution.com/2026/islamus-html/images/favicon.png	(from https://html.kodesolution.com/2026/islamus-html/)
23:27:54	78449/78449	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2018:40:20%20GMT	https://html.kodesolution.com/2026/islamus-html/index.html	D:/Ihgc/html.kodesolution.com/2026/islamus-html/index-2.html	(from https://html.kodesolution.com/2026/islamus-html/)
23:27:54	1147/1147	---M--	200	added ('OK')	image/png	date:Thu,%2022%20Jan%202026%2007:24:38%20GMT	https://html.kodesolution.com/2026/islamus-html/images/logo.png	D:/Ihgc/html.kodesolution.com/2026/islamus-html/images/logo.png	(from https://html.kodesolution.com/2026/islamus-html/)
23:27:54	56411/56411	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2018:40:20%20GMT	https://html.kodesolution.com/2026/islamus-html/index-2.html	D:/Ihgc/html.kodesolution.com/2026/islamus-html/index-3.html	(from https://html.kodesolution.com/2026/islamus-html/)
23:27:55	82553/82553	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2018:40:20%20GMT	https://html.kodesolution.com/2026/islamus-html/index-3.html	D:/Ihgc/html.kodesolution.com/2026/islamus-html/index-4.html	(from https://html.kodesolution.com/2026/islamus-html/)
23:27:55	62816/62816	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jun%202026%2018:40:20%20GMT	https://html.kodesolution.com/2026/islamus-html/index-4.html	D:/Ihgc/html.kodesolution.com/2026/islamus-html/index-5.html	(from https://html.kodesolution.com/2026/islamus-html/)
